model,price,fuel,counter,release,type
DS 3 CROSSBACK,26 980 €,Essence,36 970 Km,2021,Automatique
DS 7 CROSSBACK,44 980 €,Diesel,2 631 Km,2022,Automatique
DS 7 CROSSBACK,39 980 €,Diesel,29 800 Km,2021,Automatique
DS 3 CROSSBACK,24 722 €,Diesel,56 500 Km,2019,Automatique
DS 3 CROSSBACK,25 864 €,Essence,49 700 Km,2020,Automatique
DS,27 980 €,Essence,35 802 Km,2021,Automatique
DS 3 CROSSBACK,26 899 €,Diesel,40 751 Km,2020,Automatique
DS 7,75 990 €,Hybride rechargeable,6 000 Km,2022,Automatique
DS 3 CROSSBACK,33 290 €,Diesel,10 Km,2022,Automatique
DS 7 CROSSBACK,43 980 €,Diesel,8 500 Km,2022,Automatique
DS 9,69 990 €,Hybride,5 000 Km,2022,Automatique
DS 3 CROSSBACK,33 400 €,Essence,3 000 Km,2020,Automatique
DS 3 CROSSBACK,29 999 €,Diesel,21 667 Km,2021,Automatique
DS 7 CROSSBACK,43 990 €,Diesel,20 670 Km,2021,Automatique
DS 3 CROSSBACK,30 990 €,Diesel,2 639 Km,2022,Automatique
DS 7 CROSSBACK,34 823 €,Diesel,37 900 Km,2020,Automatique
DS 9,46 863 €,Hybride,30 500 Km,2021,Automatique
DS,30 480 €,Essence,12 292 Km,2020,Automatique
DS 4 CROSSBACK,15 990 €,Diesel,107 613 Km,2017,Automatique
DS 3 CROSSBACK,25 999 €,Essence,15 407 Km,2019,Automatique
DS 7 CROSSBACK,32 490 €,Diesel,39 986 Km,2020,Automatique
DS 3 CROSSBACK,29 999 €,Diesel,21 442 Km,2021,Automatique
DS 3,16 498 €,Essence,62 796 Km,2017,Manuelle
DS 7 CROSSBACK,24 899 €,Diesel,100 738 Km,2019,Automatique
DS 3,16 990 €,Essence,59 378 Km,2018,Manuelle
DS 3,12 480 €,Essence,98 866 Km,2017,Manuelle
DS 7 CROSSBACK,26 590 €,Diesel,100 209 Km,2018,Automatique
DS 7 CROSSBACK,46 499 €,Hybride rechargeable,5 559 Km,2021,Automatique
DS 3 CROSSBACK,27 922 €,Essence,19 818 Km,2020,Automatique
DS 3 CROSSBACK,22 990 €,Essence,47 700 Km,2019,Automatique
DS 4,43 999 €,Essence,17 345 Km,2022,Automatique
DS 3 CROSSBACK,24 622 €,Diesel,59 348 Km,2019,Automatique
DS 7 CROSSBACK,21 799 €,Diesel,126 577 Km,2018,Manuelle
DS 9,49 990 €,Hybride,5 425 Km,2022,Automatique
DS 3 CROSSBACK,29 980 €,Essence,16 921 Km,2021,Automatique
DS 7 CROSSBACK,24 862 €,Diesel,97 400 Km,2018,Manuelle
DS 9,52 980 €,Hybride,4 800 Km,2021,Automatique
DS 4,44 999 €,Essence,1 185 Km,2021,Automatique
DS 7 CROSSBACK,35 980 €,Diesel,24 169 Km,2021,Automatique
DS 7 CROSSBACK,36 990 €,Hybride rechargeable,69 788 Km,2020,Automatique
DS 4,18 980 €,Diesel,62 447 Km,2017,Automatique
DS 5,17 990 €,Diesel,64 602 Km,2016,Manuelle
DS 3 CROSSBACK,29 299 €,Diesel,10 942 Km,2021,Automatique
