id,link
0,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-performance-line-automatique-7cv-73000-chambery-400051
1,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-grand-chic-automatique-139g-08000-charleville-mezieres-230172
2,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-performance-line-automatique-71100-chalon-sur-saone-607439
3,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-grand-chic-automatique-98g-08000-charleville-mezieres-221162
4,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-performance-line-automatique-109g-51100-reims-256777
5,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-performance-line-automatique-38320-eybens-320136
6,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-grand-chic-automatique-7cv-16430-champniers-2220817
7,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-7-e-tense-4x4-360ch-la-premiere-86000-poitiers-st38422436
8,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-performance-line-automatique-126g-86000-poitiers-st38512388
9,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-rivoli-automatique-51100-reims-256439
10,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-9-hybrid-e-tense-4x4-360ch-rivoli-86000-poitiers-st37664957
11,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-3-crossback-puretech-130ch-grand-chic-automatique-7cv-71000-sance-190215
12,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-performance-line-automatique-126g-79000-niort-3211076
13,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-rivoli-automatique-51530-dizy-304322
14,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-grand-chic-eat8-63200-riom-50905
15,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-performance-line-automatique-138g-51100-reims-256311
16,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-9-hybrid-e-tense-225ch-rivoli-51100-reims-256798
17,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-performance-line-automatique-70000-vesoul-022588
18,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-4-crossback-bluehdi-120-sport-chic-s-s-eat6-10510-maizieres-la-grande-paroisse-21607
19,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-grand-chic-automatique-62231-coquelles-220946
20,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-so-chic-automatique-57180-terville-230175
21,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-performance-line-automatique-126g-79000-niort-3211075
22,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-3-thp-165ch-sport-chic-s-s-25000-besancon-189955
23,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-business-automatique-100g-16430-champniers-3148
24,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-puretech-130ch-sport-chic-s-s-63000-clermont-ferrand-131946
