brand,model,characteristics,price,alink
DS,Ds 3 crossback,Essence/36 970 km/2021/Automatique,26 980 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-performance-line-automatique-7cv-73000-chambery-400051
DS,Ds 7 crossback,Diesel/2 631 km/2022/Automatique,44 980 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-grand-chic-automatique-139g-08000-charleville-mezieres-230172
DS,Ds 7 crossback,Diesel/29 800 km/2021/Automatique,39 980 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-performance-line-automatique-71100-chalon-sur-saone-607439
DS,Ds 3 crossback,Diesel/56 500 km/2019/Automatique,24 722 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-grand-chic-automatique-98g-08000-charleville-mezieres-221162
DS,Ds 3 crossback,Essence/49 700 km/2020/Automatique,25 864 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-performance-line-automatique-109g-51100-reims-256777
DS,Ds,Essence/35 802 km/2021/Automatique,27 980 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-performance-line-automatique-38320-eybens-320136
DS,Ds 3 crossback,Diesel/40 751 km/2020/Automatique,26 899 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-grand-chic-automatique-7cv-16430-champniers-2220817
DS,Ds 7,Hybride R/6 000 km/2022/Automatique,75 990 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-7-e-tense-4x4-360ch-la-premiere-86000-poitiers-st38422436
DS,Ds 3 crossback,Diesel/10 km/2022/Automatique,33 290 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-performance-line-automatique-126g-86000-poitiers-st38512388
DS,Ds 7 crossback,Diesel/8 500 km/2022/Automatique,43 980 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-rivoli-automatique-51100-reims-256439
